City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Teya,RU,60.3778,92.6267,45.99,93,100,12.33,light rain
1,Kaitangata,NZ,-46.2817,169.8464,58.32,67,100,3.11,overcast clouds
2,Reiskirchen,DE,50.6,8.8333,48.43,91,89,10.36,overcast clouds
3,Mataura,NZ,-46.1927,168.8643,59.76,60,92,5.19,overcast clouds
4,Atuona,PF,-9.8,-139.0333,77.23,72,16,22.53,few clouds
5,Morada Nova,BR,-5.1067,-38.3725,73.92,84,66,4.18,broken clouds
6,Norman Wells,CA,65.282,-126.8329,45.19,75,100,3.18,overcast clouds
7,Radzyn Podlaski,PL,51.7833,22.6167,44.6,87,93,11.45,overcast clouds
8,Kenai,US,60.5544,-151.2583,52.09,87,100,1.12,overcast clouds
9,Bambous Virieux,MU,-20.3428,57.7575,74.21,78,75,14.97,broken clouds
10,Peleduy,RU,59.6289,112.7406,36.19,98,100,8.41,light rain
11,Komsomolskiy,UZ,40.4272,71.7189,77.72,27,0,4.61,clear sky
12,Saint-Pierre,RE,-21.3393,55.4781,74.88,64,100,13.8,overcast clouds
13,Codrington,AU,-38.2667,141.9667,56.14,75,72,11.32,broken clouds
14,Vostok,RU,46.4856,135.8833,42.82,93,98,5.88,overcast clouds
15,Vaini,TO,-21.2,-175.2,77.16,78,40,11.5,scattered clouds
16,Dauphin,CA,51.1494,-100.0502,56.28,61,71,6.78,broken clouds
17,Yamada,JP,39.4667,141.95,77.99,89,100,18.03,overcast clouds
18,Mahebourg,MU,-20.4081,57.7,74.25,78,75,14.97,broken clouds
19,Pochutla,MX,15.7432,-96.4661,73.81,91,100,4.38,overcast clouds
20,Cape Town,ZA,-33.9258,18.4232,55.11,79,20,5.75,few clouds
21,Soe,ID,-9.8607,124.284,89.51,23,64,9.17,broken clouds
22,Kruisfontein,ZA,-34.0033,24.7314,52.88,82,100,14.7,light rain
23,Bredasdorp,ZA,-34.5322,20.0403,50.97,78,93,3.42,overcast clouds
24,Faanui,PF,-16.4833,-151.75,78.82,73,6,16.71,clear sky
25,Kawalu,ID,-7.3817,108.2082,80.56,70,80,5.64,broken clouds
26,Ushuaia,AR,-54.8,-68.3,33.46,80,0,3.44,clear sky
27,Puerto Ayora,EC,-0.7393,-90.3518,67.55,89,12,3.0,few clouds
28,Yenagoa,NG,4.9247,6.2642,73.81,93,99,3.98,light rain
29,San Cristobal,VE,7.7669,-72.225,64.74,96,43,1.5,scattered clouds
30,Bluff,NZ,-46.6,168.3333,54.23,74,92,1.81,overcast clouds
31,Ketchikan,US,55.3422,-131.6461,52.5,86,66,6.78,broken clouds
32,Naron,ES,43.5167,-8.1528,65.05,79,100,7.36,overcast clouds
33,Deputatskiy,RU,69.3,139.9,34.65,67,100,6.4,overcast clouds
34,Hermanus,ZA,-34.4187,19.2345,47.8,67,96,6.53,overcast clouds
35,Qaanaaq,GL,77.484,-69.3632,22.17,51,63,8.55,broken clouds
36,Hobart,AU,-42.8794,147.3294,60.26,53,75,12.66,broken clouds
37,Rikitea,PF,-23.1203,-134.9692,72.18,79,27,19.46,light rain
38,Ponta Do Sol,PT,32.6667,-17.1,73.0,86,47,5.46,scattered clouds
39,Dingle,PH,10.9995,122.6711,87.08,68,100,14.99,overcast clouds
40,Victoria,HK,22.2855,114.1577,96.19,75,48,7.0,scattered clouds
41,Tyup,KG,42.7276,78.3648,69.57,28,7,5.95,clear sky
42,Whitehorse,CA,60.7161,-135.0538,45.37,65,20,5.75,few clouds
43,Avarua,CK,-21.2078,-159.775,75.25,83,75,3.44,broken clouds
44,Fort Madison,US,40.6298,-91.3151,74.12,100,100,0.0,moderate rain
45,Tuktoyaktuk,CA,69.4541,-133.0374,42.08,82,74,1.19,broken clouds
46,Arica,CL,-18.475,-70.3042,57.76,85,39,0.63,scattered clouds
47,Kapaa,US,22.0752,-159.319,82.38,81,100,11.5,overcast clouds
48,Mahibadhoo,MV,3.7833,72.9667,81.99,69,100,7.83,overcast clouds
49,Nuuk,GL,64.1835,-51.7216,47.01,87,40,5.75,scattered clouds
50,Zhigalovo,RU,54.8097,105.1578,56.98,44,53,3.98,broken clouds
51,Xining,CN,36.6167,101.7667,54.12,90,100,3.6,overcast clouds
52,Havre-Saint-Pierre,CA,50.2334,-63.5986,47.59,62,50,11.48,scattered clouds
53,Longyearbyen,SJ,78.2186,15.6401,24.64,86,40,12.66,scattered clouds
54,Luderitz,NA,-26.6481,15.1594,52.11,80,42,10.83,scattered clouds
55,Kirkuk,IQ,35.4681,44.3922,91.56,11,0,6.11,clear sky
56,Quibdo,CO,5.6947,-76.6611,72.66,98,100,1.54,moderate rain
57,Taltal,CL,-25.4,-70.4833,56.68,69,1,1.9,clear sky
58,Jamestown,US,42.097,-79.2353,69.71,54,0,8.05,clear sky
59,Alyangula,AU,-13.8483,136.4192,84.76,68,60,14.56,broken clouds
60,Nancha,CN,47.1333,129.2667,50.54,35,24,14.32,few clouds
61,Lazaro Cardenas,MX,17.9583,-102.2,75.13,97,100,0.56,overcast clouds
62,Chokurdakh,RU,70.6333,147.9167,43.93,45,79,13.18,broken clouds
63,Samarai,PG,-10.6167,150.6667,81.41,82,100,14.34,overcast clouds
64,Charters Towers,AU,-20.1,146.2667,92.95,26,11,4.14,few clouds
65,Khao Yoi,TH,13.2403,99.8243,79.14,73,100,6.06,overcast clouds
66,Tasiilaq,GL,65.6145,-37.6368,39.02,98,100,3.27,light rain
67,Upernavik,GL,72.7868,-56.1549,35.11,72,100,1.61,overcast clouds
68,Okha,RU,53.5739,142.9478,62.26,67,72,11.01,broken clouds
69,Chute-Aux-Outardes,CA,49.1168,-68.399,44.04,69,1,6.08,clear sky
70,Ribeira Grande,PT,38.5167,-28.7,73.63,87,11,3.13,few clouds
71,Thompson,CA,55.7435,-97.8558,51.96,100,100,3.44,mist
72,East London,ZA,-33.0153,27.9116,58.06,90,100,6.91,moderate rain
73,Amurzet,RU,47.6967,131.0981,53.11,35,13,17.49,few clouds
74,Tessalit,ML,20.1986,1.0114,89.1,33,89,11.77,overcast clouds
75,Alofi,NU,-19.0595,-169.9187,76.86,79,8,19.08,clear sky
76,Tura,IN,25.5198,90.2201,84.63,74,96,2.55,overcast clouds
77,Barrow,US,71.2906,-156.7887,44.58,78,100,10.18,overcast clouds
78,Ambilobe,MG,-13.2,49.05,79.14,44,17,7.65,few clouds
79,Albany,US,42.6001,-73.9662,66.31,94,94,1.7,overcast clouds
80,Busselton,AU,-33.65,115.3333,55.35,77,81,20.42,broken clouds
81,Acarau,BR,-2.8856,-40.12,77.16,83,42,13.69,scattered clouds
82,Airai,TL,-8.9266,125.4092,78.24,43,87,2.13,overcast clouds
83,Zhigansk,RU,66.7697,123.3711,35.98,64,98,9.71,overcast clouds
84,Rio Gallegos,AR,-51.6226,-69.2181,39.18,70,0,13.91,clear sky
85,Richards Bay,ZA,-28.783,32.0377,67.33,87,94,10.58,overcast clouds
86,Katsuura,JP,35.1333,140.3,81.5,86,90,21.97,overcast clouds
87,Port Augusta,AU,-32.5,137.7667,73.74,33,0,6.4,clear sky
88,New Norfolk,AU,-42.7826,147.0587,59.92,50,69,5.99,broken clouds
89,Ahipara,NZ,-35.1667,173.1667,60.33,97,100,13.02,overcast clouds
90,Tabou,CI,4.423,-7.3528,74.53,90,69,5.77,broken clouds
91,Cota,CO,4.8094,-74.098,49.6,93,58,3.69,broken clouds
92,Limaong,PH,7.3606,122.3664,86.23,64,83,6.33,broken clouds
93,Nikolskoye,RU,59.7035,30.7861,50.79,91,99,6.35,overcast clouds
94,Naze,JP,28.3667,129.4833,85.12,81,70,19.35,broken clouds
95,Saint Anthony,US,45.0205,-93.218,60.71,93,0,0.0,fog
96,Chuy,UY,-33.6971,-53.4616,58.21,88,100,10.36,overcast clouds
97,Leshukonskoye,RU,64.8989,45.7622,46.36,94,76,4.88,broken clouds
98,Tuatapere,NZ,-46.1333,167.6833,58.6,65,77,4.99,broken clouds
99,Punta Arenas,CL,-53.15,-70.9167,37.11,80,0,3.76,clear sky
100,Yellowknife,CA,62.456,-114.3525,48.72,87,75,2.3,light rain
101,Jacareacanga,BR,-6.2222,-57.7528,70.54,93,99,2.73,overcast clouds
102,Berlevag,NO,70.8578,29.0864,44.6,93,75,19.57,moderate rain
103,Bilma,NE,18.6853,12.9164,86.2,40,20,7.43,few clouds
104,Abu Kamal,SY,34.4506,40.9171,84.36,25,0,6.6,clear sky
105,Ancud,CL,-41.8697,-73.8203,41.23,90,64,4.36,light rain
106,Port Alfred,ZA,-33.5906,26.891,54.18,95,100,3.0,overcast clouds
107,Shimoda,JP,34.6667,138.95,87.1,90,100,17.47,overcast clouds
108,Chapais,CA,49.7834,-74.8492,40.78,71,46,4.74,scattered clouds
109,Cabo San Lucas,MX,22.8909,-109.9124,83.61,84,100,11.1,overcast clouds
110,Cayenne,GF,4.9333,-52.3333,78.84,89,75,0.0,broken clouds
111,Olafsvik,IS,64.8945,-23.7142,49.75,93,100,14.85,overcast clouds
112,Itarema,BR,-2.9248,-39.9167,77.27,83,20,13.65,few clouds
113,Bethel,US,41.3712,-73.414,73.65,79,92,1.99,overcast clouds
114,San Patricio,US,28.017,-97.5169,84.09,75,1,8.88,clear sky
115,Talnakh,RU,69.4865,88.3972,36.21,100,100,2.86,overcast clouds
116,Georgetown,MY,5.4112,100.3354,89.53,62,20,9.22,few clouds
117,Kodiak,US,57.79,-152.4072,52.9,96,100,10.67,overcast clouds
118,Shakhovskaya,RU,56.0283,35.5097,48.24,92,76,18.7,broken clouds
119,Narsaq,GL,60.9167,-46.05,59.22,65,94,6.02,overcast clouds
120,Saint-Philippe,RE,-21.3585,55.7679,74.79,80,58,13.2,light rain
121,Esperance,AU,-33.8667,121.9,58.84,69,11,15.64,light rain
122,Belyy Yar,RU,53.6039,91.3903,57.85,51,0,2.24,clear sky
123,Vanimo,PG,-2.6741,141.3028,85.62,65,28,6.96,scattered clouds
124,Rybnik,PL,50.0971,18.5418,46.26,96,100,1.99,overcast clouds
125,Christchurch,NZ,-43.5333,172.6333,68.2,54,24,11.5,few clouds
126,Reyes,BO,-14.3167,-67.3833,74.86,72,30,1.74,scattered clouds
127,Russell,US,32.3502,-85.1999,73.0,94,0,0.0,clear sky
128,Mount Gambier,AU,-37.8333,140.7667,55.92,63,83,6.82,broken clouds
129,Doka,SD,13.5167,35.7667,72.61,83,99,6.35,overcast clouds
130,Torbat-E Jam,IR,35.244,60.6225,77.11,21,0,4.14,clear sky
131,Guarapari,BR,-20.6667,-40.4975,65.89,82,1,6.02,clear sky
132,Sakakah,SA,29.9697,40.2064,76.57,19,0,4.03,clear sky
133,Bengkulu,ID,-3.8004,102.2655,81.25,73,100,8.19,overcast clouds
134,Caranavi,BO,-15.8167,-67.55,64.74,93,100,2.75,overcast clouds
135,Zvenyhorodka,UA,49.0787,30.9675,47.84,80,96,17.56,overcast clouds
136,Mar Del Plata,AR,-38.0023,-57.5575,57.09,93,100,15.99,overcast clouds
137,Nola,IT,40.922,14.5329,66.92,86,4,2.77,clear sky
138,Kitob,UZ,39.0843,66.8332,83.3,18,0,3.98,clear sky
139,Matara,LK,5.9485,80.5353,84.67,68,82,13.2,broken clouds
140,Conceicao Da Barra,BR,-18.5933,-39.7322,68.05,74,95,3.98,overcast clouds
141,Avera,US,33.194,-82.5271,69.31,76,3,6.85,clear sky
142,Kungurtug,RU,50.5994,97.5228,57.13,37,1,2.17,clear sky
143,Ankara,TR,39.9199,32.8543,65.44,65,20,5.75,few clouds
144,Coihaique,CL,-45.5752,-72.0662,35.55,100,75,1.14,light rain
145,Saldanha,ZA,-33.0117,17.9442,55.72,66,3,19.6,clear sky
146,Castro,BR,-24.7911,-50.0119,48.74,95,32,8.34,scattered clouds
147,Coahuayana,MX,18.7333,-103.6833,73.9,97,100,2.59,overcast clouds
148,Baghdad,IQ,33.3406,44.4009,80.51,36,0,2.3,clear sky
149,Arrecife,ES,28.963,-13.5477,73.38,78,0,2.3,clear sky
150,Qaqortoq,GL,60.7167,-46.0333,47.32,66,95,6.73,overcast clouds
151,Sao Joao Da Barra,BR,-21.6403,-41.0511,62.37,83,0,6.33,clear sky
152,Salinopolis,BR,-0.6136,-47.3561,78.06,80,14,8.61,few clouds
153,Betera,ES,39.5833,-0.45,72.88,82,75,6.91,broken clouds
154,Vao,NC,-22.6667,167.4833,73.22,75,0,13.78,clear sky
155,Benghazi,LY,32.1167,20.0667,77.77,82,0,8.63,clear sky
156,Afonso Bezerra,BR,-5.4983,-36.5056,72.59,81,27,11.01,scattered clouds
157,Ishinomaki,JP,38.4167,141.3,78.55,88,97,26.49,overcast clouds
158,Pedro Ii,BR,-4.4247,-41.4586,65.43,90,98,1.41,overcast clouds
159,Knysna,ZA,-34.0363,23.0471,55.0,85,100,9.95,moderate rain
160,Majene,ID,-3.5403,118.9707,86.56,64,86,6.13,overcast clouds
161,Amapa,BR,1.0,-52.0,67.84,95,58,0.85,broken clouds
162,Awjilah,LY,29.1081,21.2869,77.95,44,0,5.12,clear sky
