City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mahebourg,MU,2022-09-17 05:15:07,-20.4081,57.7,75.49,69,75,14.97
1,Ribeira Grande,PT,2022-09-17 05:15:08,38.5167,-28.7,73.26,85,36,8.88
2,Moshenskoye,RU,2022-09-17 05:15:08,58.5102,34.5911,45.46,95,94,6.53
3,Rikitea,PF,2022-09-17 05:15:09,-23.1203,-134.9692,72.55,73,0,17.34
4,Nikolskoye,RU,2022-09-17 05:15:09,59.7035,30.7861,49.89,87,91,6.78
5,Chapais,CA,2022-09-17 05:15:10,49.7834,-74.8492,42.58,80,4,2.53
6,Adrar,MR,2022-09-17 05:15:11,20.5022,-10.0711,80.37,30,0,8.34
7,Tilichiki,RU,2022-09-17 05:15:11,60.4667,166.1,45.7,59,79,16.64
8,Ruteng,ID,2022-09-17 05:15:12,-8.6136,120.4721,77.54,49,47,1.63
9,Yellowknife,CA,2022-09-17 05:15:12,62.456,-114.3525,48.72,93,40,8.01
10,Abu Samrah,SY,2022-09-17 05:15:13,35.3029,37.1841,75.87,41,0,6.08
11,Butaritari,KI,2022-09-17 05:15:13,3.0707,172.7902,82.31,69,20,13.42
12,Upernavik,GL,2022-09-17 05:15:14,72.7868,-56.1549,33.3,81,9,16.15
13,Tahe,CN,2022-09-17 05:15:14,52.3333,124.7333,49.19,88,100,6.46
14,Ballina,AU,2022-09-17 05:15:15,-28.8667,153.5667,81.01,50,98,7.52
15,Tiksi,RU,2022-09-17 05:15:15,71.6872,128.8694,36.55,98,100,8.01
16,Saint-Paul,RE,2022-09-17 05:15:16,-21.0096,55.2707,75.31,65,24,2.17
17,Antalaha,MG,2022-09-17 05:15:16,-14.9003,50.2788,72.64,70,17,8.1
18,Dunedin,NZ,2022-09-17 05:14:37,-45.8742,170.5036,51.8,68,43,6.98
19,Zwedru,LR,2022-09-17 05:15:17,6.0667,-8.1281,71.37,99,100,3.67
20,Mount Gambier,AU,2022-09-17 05:15:18,-37.8333,140.7667,53.51,87,75,23.02
21,Esperance,AU,2022-09-17 05:15:18,-33.8667,121.9,63.3,60,22,15.03
22,Atuona,PF,2022-09-17 05:15:18,-9.8,-139.0333,76.78,73,7,19.33
23,Ilulissat,GL,2022-09-17 05:15:19,69.2167,-51.1,35.62,100,20,6.91
24,Aklavik,CA,2022-09-17 05:15:20,68.2191,-135.0107,37.13,95,84,7.29
25,Lagoa,PT,2022-09-17 05:15:20,39.05,-27.9833,72.45,82,39,12.21
26,Luderitz,NA,2022-09-17 05:15:21,-26.6481,15.1594,59.07,75,54,14.14
27,Yandyki,RU,2022-09-17 05:15:21,45.7691,47.1258,74.08,64,69,12.26
28,Tuktoyaktuk,CA,2022-09-17 05:15:22,69.4541,-133.0374,39.2,93,75,2.3
29,East London,ZA,2022-09-17 05:15:22,-33.0153,27.9116,61.74,77,0,9.22
30,Yulara,AU,2022-09-17 05:15:23,-25.2406,130.9889,75.6,14,0,4.7
31,Novoorsk,RU,2022-09-17 05:15:23,51.381,58.9813,65.05,85,100,8.12
32,Vaini,TO,2022-09-17 05:15:24,-21.2,-175.2,77.16,94,75,8.05
33,Eureka,US,2022-09-17 05:15:14,40.8021,-124.1637,54.93,88,15,3.74
34,Poso,ID,2022-09-17 05:15:24,-1.3959,120.7524,86.92,63,97,6.29
35,Ushuaia,AR,2022-09-17 05:15:25,-54.8,-68.3,38.86,81,75,23.02
36,Mokobeng,BW,2022-09-17 05:15:25,-22.9965,27.6678,64.08,25,0,4.07
37,Busselton,AU,2022-09-17 05:15:26,-33.65,115.3333,61.0,71,100,13.09
38,Hermanus,ZA,2022-09-17 05:15:11,-34.4187,19.2345,51.8,80,89,3.31
39,Trelleborg,SE,2022-09-17 05:15:26,55.3751,13.1569,53.98,78,45,13.69
40,Dikson,RU,2022-09-17 05:15:27,73.5069,80.5464,34.95,76,22,6.62
41,Lata,PT,2022-09-17 05:15:27,40.1629,-8.3327,65.07,93,98,1.97
42,Bedong,MY,2022-09-17 05:15:28,5.7274,100.5088,87.76,58,44,4.79
43,Vernon,CA,2022-09-17 05:15:28,50.2581,-119.2691,52.16,67,62,3.44
44,Piura,PE,2022-09-17 05:15:29,-5.2,-80.6333,66.07,79,22,10.0
45,Mataura,NZ,2022-09-17 05:15:29,-46.1927,168.8643,46.47,59,59,1.99
46,Salalah,OM,2022-09-17 05:13:05,17.0151,54.0924,82.49,83,75,1.14
47,Georgetown,MY,2022-09-17 05:11:28,5.4112,100.3354,87.73,70,20,5.75
48,Issoire,FR,2022-09-17 05:16:30,45.55,3.25,49.26,93,77,5.75
49,Albany,US,2022-09-17 05:11:31,42.6001,-73.9662,54.68,86,79,3.67
50,Dudinka,RU,2022-09-17 05:16:31,69.4058,86.1778,36.63,61,100,7.02
51,Tazovskiy,RU,2022-09-17 05:16:31,67.4667,78.7,40.35,97,100,13.42
52,Dingle,PH,2022-09-17 05:16:32,10.9995,122.6711,86.77,69,92,13.87
53,Mendi,PG,2022-09-17 05:16:32,-6.1761,143.6513,64.47,84,96,3.09
54,Thompson,CA,2022-09-17 05:12:23,55.7435,-97.8558,51.96,76,20,2.3
55,Puerto Ayora,EC,2022-09-17 05:16:33,-0.7393,-90.3518,65.55,95,9,6.98
56,Port Elizabeth,ZA,2022-09-17 05:16:33,-33.918,25.5701,61.09,81,0,10.36
57,Tvoroyri,FO,2022-09-17 05:16:34,61.5556,-6.8111,51.12,77,99,8.9
58,Longyearbyen,SJ,2022-09-17 05:16:34,78.2186,15.6401,30.04,80,75,9.22
59,Abalak,RU,2022-09-17 05:16:35,58.1286,68.5944,53.76,51,92,10.69
60,Wagar,SD,2022-09-17 05:16:35,16.1525,36.2032,83.73,52,75,10.16
61,Bluff,NZ,2022-09-17 05:16:35,-46.6,168.3333,46.8,62,52,4.72
62,Jamestown,US,2022-09-17 05:16:36,42.097,-79.2353,61.72,77,0,3.44
63,Komatipoort,ZA,2022-09-17 05:16:36,-25.4332,31.9548,71.6,42,0,3.62
64,Castro,BR,2022-09-17 05:13:10,-24.7911,-50.0119,48.83,89,87,8.57
65,Chuy,UY,2022-09-17 05:16:37,-33.6971,-53.4616,54.55,84,4,7.85
