City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Atuona,PF,77.23,few clouds,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
11,Komsomolskiy,UZ,77.72,clear sky,40.4272,71.7189,Ikathouse
15,Vaini,TO,77.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
17,Yamada,JP,77.99,overcast clouds,39.4667,141.95,Iroha-ya Inn
21,Soe,ID,89.51,broken clouds,-9.8607,124.284,Dena Hotel
24,Faanui,PF,78.82,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
25,Kawalu,ID,80.56,broken clouds,-7.3817,108.2082,West Jontor
39,Dingle,PH,87.08,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
43,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
47,Kapaa,US,82.38,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
48,Mahibadhoo,MV,81.99,overcast clouds,3.7833,72.9667,Omadhoo Inn
59,Alyangula,AU,84.76,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
61,Lazaro Cardenas,MX,75.13,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
63,Samarai,PG,81.41,overcast clouds,-10.6167,150.6667,Nuli Sapi
65,Khao Yoi,TH,79.14,overcast clouds,13.2403,99.8243,เปิ้ล ทำเบาะ
74,Tessalit,ML,89.1,overcast clouds,20.1986,1.0114,
75,Alofi,NU,76.86,clear sky,-19.0595,-169.9187,Taloa Heights
76,Tura,IN,84.63,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
78,Ambilobe,MG,79.14,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
81,Acarau,BR,77.16,scattered clouds,-2.8856,-40.12,castelo pizzaria
82,Airai,TL,78.24,overcast clouds,-8.9266,125.4092,
86,Katsuura,JP,81.5,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
92,Limaong,PH,86.23,broken clouds,7.3606,122.3664,Malanta Beach
94,Naze,JP,85.12,broken clouds,28.3667,129.4833,Shishime Hotel
103,Bilma,NE,86.2,few clouds,18.6853,12.9164,Expeditions Ténére voyages
104,Abu Kamal,SY,84.36,clear sky,34.4506,40.9171,البوكمال
107,Shimoda,JP,87.1,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
109,Cabo San Lucas,MX,83.61,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
110,Cayenne,GF,78.84,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
112,Itarema,BR,77.27,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
114,San Patricio,US,84.09,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
116,Georgetown,MY,89.53,few clouds,5.4112,100.3354,Cititel Penang
123,Vanimo,PG,85.62,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
130,Torbat-E Jam,IR,77.11,clear sky,35.244,60.6225,White building
132,Sakakah,SA,76.57,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
133,Bengkulu,ID,81.25,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
138,Kitob,UZ,83.3,clear sky,39.0843,66.8332,KESH HOTEL
139,Matara,LK,84.67,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
148,Baghdad,IQ,80.51,clear sky,33.3406,44.4009,Baghdad Hotel
152,Salinopolis,BR,78.06,few clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
155,Benghazi,LY,77.77,clear sky,32.1167,20.0667,Tibesti Hotel
157,Ishinomaki,JP,78.55,overcast clouds,38.4167,141.3,Ishinomaki Grand Hotel
160,Majene,ID,86.56,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
162,Awjilah,LY,77.95,clear sky,29.1081,21.2869,المنزل
170,Poya,NC,80.19,clear sky,-21.35,165.15,
177,Cockburn Town,TC,82.56,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
180,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
185,Thinadhoo,MV,82.56,few clouds,0.5333,72.9333,
188,Hilo,US,79.29,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
201,Butaritari,KI,82.35,few clouds,3.0707,172.7902,Isles Sunset Lodge
208,Sao Miguel Do Araguaia,BR,77.41,clear sky,-13.275,-50.1628,Hotel Executivo Palace
210,Touros,BR,75.96,few clouds,-5.1989,-35.4608,INN NEW HORIZON
211,Mana,GF,78.17,overcast clouds,5.6592,-53.7767,LE SAMANA
215,Kahului,US,80.62,clear sky,20.8947,-156.47,Maui Seaside Hotel
220,Araouane,ML,85.21,overcast clouds,18.9048,-3.5265,
223,Puerto Escondido,MX,77.83,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
226,Sabang,ID,82.45,overcast clouds,5.8933,95.3214,Hotel Citra
228,Goure,NE,77.47,broken clouds,13.9835,10.2704,
232,Zlitan,LY,75.25,clear sky,32.4674,14.5687,القسم الداخلي للجامعة الأسمرية
238,Nizwa,OM,88.52,clear sky,22.9333,57.5333,Orient Apartments
241,Samana,DO,78.76,overcast clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
246,Puerto Madero,MX,75.4,broken clouds,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
257,Honiara,SB,81.72,overcast clouds,-9.4333,159.95,Heritage Park Hotel
259,Kavieng,PG,83.52,light rain,-2.5744,150.7967,Nusa Island Retreat
264,Tautira,PF,78.1,light rain,-17.7333,-149.15,Pension Oaoa
273,Limbang,MY,82.51,overcast clouds,4.75,115.0,Purnama Hotel
274,Riyadh,SA,89.74,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
278,Byron Bay,AU,81.72,clear sky,-28.65,153.6167,Backpackers Inn
279,San Pedro,PH,86.04,overcast clouds,14.35,121.0167,Palines Apartment and Guesthouse
280,Lethem,GY,77.47,scattered clouds,3.3803,-59.7968,Savannah Inn
283,Nabire,ID,85.98,broken clouds,-3.3667,135.4833,Hotel Nusantara I
286,Hobyo,SO,79.66,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
287,Bubaque,GW,79.39,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
291,Itacoatiara,BR,76.06,broken clouds,-3.1431,-58.4442,BBB Rooms Centro Itacoatiara AM
300,Cabatuan,PH,86.49,overcast clouds,10.8794,122.486,MVC Transient Room
303,Seoul,KR,81.79,broken clouds,37.5683,126.9778,LOTTE HOTEL SEOUL
310,Maningrida,AU,88.81,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
312,Khuzdar,PK,79.41,clear sky,27.7384,66.6434,jhalwan Rent A Car Compny Moola Chotok
315,Hithadhoo,MV,82.31,overcast clouds,-0.6,73.0833,Scoop Guest House
317,Saveh,IR,82.83,few clouds,35.0213,50.3566,Sadra
